"i1","j1","fq","pval","fdr","bon","ibp","jbp","rawc"
2,7,0.801806954831931,0,0,0,230810000,230835000,124.994286
3,10,0.442212864708064,0,0,0,230815000,230850000,94.6058
12,44,0.0837621685547052,0,0,0,230860000,231020000,45.304146
12,45,0.0973183678812408,0,0,0,230860000,231025000,48.800514
13,33,0.10183840156388,0,0,0,230865000,230965000,49.713963
13,39,0.086052380671302,0,0,0,230865000,230995000,45.885468
13,41,0.084105168702702,0,0,0,230865000,231005000,45.461514
13,42,0.0880347091350604,0,0,0,230865000,231010000,46.426888
13,43,0.085090234756838,0,0,0,230865000,231015000,45.604153
13,44,0.169582845857125,0,0,0,230865000,231020000,64.1024
13,45,0.109617867441508,0,0,0,230865000,231025000,51.98768
13,47,0.100485435576886,0,0,0,230865000,231035000,49.47293
13,48,0.0729790945456788,0,0,0,230865000,231040000,41.787315
13,50,0.0661634651425278,0,0,0,230865000,231050000,39.544605
14,40,0.0883739148937059,0,0,0,230870000,231000000,46.457375
14,41,0.0987282976479086,0,0,0,230870000,231005000,49.097958
14,42,0.0803930760862419,0,0,0,230870000,231010000,44.02692
14,43,0.127351940170466,0,0,0,230870000,231015000,55.428825
14,44,0.325612138241996,0,0,0,230870000,231020000,82.35797
14,45,0.285858206156535,0,0,0,230870000,231025000,79.10929
14,46,0.110721795152199,0,0,0,230870000,231030000,52.141434
14,47,0.0940257546347229,0,0,0,230870000,231035000,47.88933
14,49,0.10285325720843,0,0,0,230870000,231045000,50.035217
14,135,0.0866274522205952,0,0,0,230870000,231475000,46.065456
15,23,0.342065765236025,0,0,0,230875000,230915000,84.19148
15,28,0.165625391824975,0,0,0,230875000,230940000,63.33378
15,35,0.105147430486275,0,0,0,230875000,230975000,50.82941
15,41,0.0780007463031931,0,0,0,230875000,231005000,43.629498
15,42,0.129012454905974,0,0,0,230875000,231010000,55.76393
15,43,0.102968214881172,0,0,0,230875000,231015000,50.049683
15,44,0.120306358179501,0,0,0,230875000,231020000,54.18112
15,45,0.151613856343608,0,0,0,230875000,231025000,60.939625
15,46,0.0900004567097847,0,0,0,230875000,231030000,46.779514
15,47,0.0730516322517428,0,0,0,230875000,231035000,41.815887
16,24,0.323431184477511,0,0,0,230880000,230920000,82.25528
16,25,0.295249782418434,0,0,0,230880000,230925000,80.49279
16,37,0.113758667497195,0,0,0,230880000,230985000,52.792618
16,39,0.0973520834124033,0,0,0,230880000,230995000,48.834923
16,40,0.104568408733345,0,0,0,230880000,231000000,50.43855
16,41,0.0905651622027813,0,0,0,230880000,231005000,46.901432
16,43,0.0964976248326374,0,0,0,230880000,231015000,48.498554
16,44,0.147449239975841,0,0,0,230880000,231020000,59.76785
16,45,0.0912452597527216,0,0,0,230880000,231025000,47.056267
16,46,0.107717275547564,0,0,0,230880000,231030000,51.70423
16,47,0.0829893477598224,0,0,0,230880000,231035000,44.89754
16,50,0.0693151784204245,0,0,0,230880000,231050000,40.841312
16,51,0.0728998004491155,0,0,0,230880000,231055000,41.757088
17,24,0.457253792952314,0,0,0,230885000,230920000,100.096695
17,25,0.346923211957207,0,0,0,230885000,230925000,85.81346
17,33,0.146674436820368,0,0,0,230885000,230965000,59.59976
17,39,0.103440421096028,0,0,0,230885000,230995000,50.18147
17,40,0.111406831624016,0,0,0,230885000,231000000,52.22806
17,42,0.100518891103136,0,0,0,230885000,231010000,49.501823
17,45,0.10806693390789,0,0,0,230885000,231025000,51.75213
17,48,0.0785320393863949,0,0,0,230885000,231040000,43.71573
18,34,0.146896586070698,0,0,0,230890000,230970000,59.692265
